KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
INDIV,DU NO,23111,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY THAU CHI TIEU DUNG KHONG CO TSDB,CHO VAY THAU CHI TIEU DUNG KHONG CO TSDB,Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay thấu chi tiêu dùng không có TSĐB,Cho vay thấu chi tiêu dùng không có TSĐB,2022-03-09 00:00:00.0000000,CV THAU CHI,INDIV,CV TIN CHAP
TCKT,,23111,CHO VAY,,,,Cho vay,Thấu chi,CV Thấu chi không TSĐB,Cho vay thấu chi tín chấp tiêu dùng,2023-07-26 00:00:00.0000000,,,
TCKT,,11541,THE GHI NO,,,,Thẻ ghi nợ,Debit,Thẻ ghi nợ nội địa MB VIP/MB Private,Thẻ ghi nợ nội địa MB VIP/MB Private,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,11541,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,Thẻ ghi nợ nội địa MB VIP/MB Private,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,Thẻ ghi nợ nội địa MB VIP/MB Private,2021-01-01 00:00:00.0000000,,,
TCKT,,15261,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Thu hộ tiền HN Cab,2023-07-26 00:00:00.0000000,,,
TCKT,,118118,THE TIN DUNG,,,,Thẻ tín dụng,Gia han,Thẻ tín dụng gia hạn hạng Classic,Thẻ JCB Sakura gia hạn hạng Classic,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,11541,TKTT,THE GHI NO DANH CHO KHCN,THE GHI NO NOI DIA DANH CHO KHCN,THE GHI NO NOI DIA MB VIP/MB PRIVATE,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,Thẻ ghi nợ nội địa MB VIP/MB Private,2022-03-09 00:00:00.0000000,TKTT,INDIV,TKTT
INDIV,DU NO,23211,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY MON TIEU DUNG KHONG CO TSDB,CHO VAY DAM BAO BANG LUONG MB,Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay món tiêu dùng không có TSĐB,Cho vay đảm bảo bằng lương MB,2022-03-09 00:00:00.0000000,CV LUONG MB,INDIV,CV TIN CHAP
TCKT,,23211,CHO VAY,,,,Cho vay,Tín chấp ,CV Lương MB,Cho vay đảm bảo bằng lương MB,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,12312,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Quân nhân,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Quân nhân,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12312,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM QUAN NHAN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Quân nhân,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,12312,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm Quân nhân,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,22312,CV BĐS,CHO VAY MUA NHA DAT,CHO VAY MUA NHA DAT DE O,CHO VAY MUA NHA DAT DE O,Cho vay bất động sản,Cho vay mua nhà đất,Cho vay mua nhà đất để ở,Cho vay mua nhà đất để ở,2022-03-09 00:00:00.0000000,CV NHA DAT,INDIV,CV NHA DAT
TCKT,,22312,CHO VAY,,,,Cho vay,CV Nhà đất,CV Nhà đất,Cho vay mua nhà đất để ở,2023-07-26 00:00:00.0000000,,,
SME,HUY_DONG,12418,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CO KY HAN TICH LUY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn tích lũy,2021-01-01 00:00:00.0000000,,,
TCKT,,15311,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,DV quản lý tài khoản tập trung (tach ma phi),2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,12418,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn tích lũy,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn tích lũy,2021-01-01 00:00:00.0000000,,,
CIB,HUY_DONG,12418,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CO KY HAN TICH LUY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn tích lũy,2021-01-01 00:00:00.0000000,,,
TCKT,,22221,CHO VAY,,,,Cho vay,CV Khác,CV Khác,Cho vay thanh toán chi phí du học,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,22221,CV KHAC,CHO VAY DU HOC,CHO VAY DU HOC,CHO VAY DU HOC,Cho vay khác (không bao gồm thẻ TD),Cho vay du học,Cho vay du học,Cho vay du học,2022-03-09 00:00:00.0000000,CV KHAC,INDIV,CV KHAC
TCKT,,16514,KIEU HOI,,,,Kiều hối,DS Chiều về ,Chi trả vào thẻ,Chi trả vào thẻ,2023-07-26 00:00:00.0000000,,,
TCKT,,21171,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay tái tài trợ sản xuất kinh doanh,2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,14132,TAI KHOAN THE TRA TRUOC,THE TRA TRUOC DANH CHO KHCN,THE TRA TRUOC NOI DIA DANH CHO KHCN,THE Y TE SP SO,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,Thẻ y tế SP SO,2022-03-09 00:00:00.0000000,,NHS,
TOAN_HANG,,14132,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,Thẻ y tế SP SO,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,Thẻ y tế SP SO,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,13215,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM QUA KENH VIETTELPAY SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm qua kênh ViettelPay SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,15271,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Thu hộ học phí SSC,2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,11121,TKTT,TAI KHOAN THANH TOAN,TAI KHOAN THANH TOAN,TAI KHOAN DIEN TU SP SO,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản điện tử SP SO,2022-03-09 00:00:00.0000000,TKTT,NHS,TKTT
TCKT,,15242,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Thu hộ tiền điện (miền Trung),2023-07-26 00:00:00.0000000,,,
TCKT,,11121,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Tài khoản điện tử,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,11121,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản điện tử SP SO,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản điện tử SP SO,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,55113,TAI TRO THUONG MAI,TAI TRO THUONG MAI - NOI DIA,TAI TRO UPAS LC NOI DIA,TAI TRO UPAS L/C NOI DIA,Tài trợ thương mại,Tài trợ thương mại - nội địa,Tài trợ Upas LC nội địa,Tài trợ UPAS L/C nội địa,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,55113,TAI TRO THUONG MAI,TAI TRO THUONG MAI - NOI DIA,TAI TRO UPAS LC NOI DIA,TAI TRO UPAS L/C NOI DIA,,Tài trợ thương mại - nội địa,Tài trợ Upas LC nội địa,Tài trợ UPAS L/C nội địa,2021-01-01 00:00:00.0000000,,,
TCKT,,16515,KIEU HOI,,,,Kiều hối,DS Chiều về ,Chi trả vào mobile,Chi trả vào mobile,2023-07-26 00:00:00.0000000,,,
TCKT,,158,EBANKING,,,,Ebanking,MB Mobile banking - App,MB Mobile banking,MB Mobile banking,2023-07-26 00:00:00.0000000,,,
INDIV,"DAU TU, BAO HIEM, TU VAN, UY THAC DAI LY",61131,SAN PHAM LIEN KET VA UY THAC DAI LY BAO HIEM,DAI LY CUNG CAP SP BAO HIEM NHAN THO,BAO HIEM DOC LAP,BANCASSURANCE,Sản phẩm liên kết và ủy thác đại lý bảo hiểm,Đại lý cung cấp SP bảo hiểm nhân thọ,Bảo hiểm độc lập,Bancassurance,2022-03-09 00:00:00.0000000,,INDIV,
TCKT,,15251,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Thu hộ tiền nước HCM (Sawaco),2023-07-26 00:00:00.0000000,,,
TCKT,,15821,EBANKING,,,,Ebanking,Ebanking,Dịch vụ thanh toán qua MBplus,Dịch vụ thanh toán qua MBplus,2023-07-26 00:00:00.0000000,,,
TCKT,,12212,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi hàng tháng,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,12212,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI DINH KY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi định kỳ,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,61911,DOANH THU KHAC,,,,Doanh thu khác,,Doanh thu phí sản phẩm khác,Dịch vụ ngân quỹ,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,55225,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,55225,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12212,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi định kỳ,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi định kỳ,2021-01-01 00:00:00.0000000,,,
CIB,HUY_DONG,12212,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI DINH KY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi định kỳ,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,12212,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI DINH KY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi định kỳ,2021-01-01 00:00:00.0000000,,,
NHS,DU NO,21216,CV KHAC,CHO VAY NOP THUE,CHO VAY NOP THUE,CHO VAY NOP THUE,Cho vay khác,Cho vay nộp thuế,Cho vay nộp thuế,Cho vay nộp thuế,2022-03-09 00:00:00.0000000,CV TIN CHAP,NHS,CV TIN CHAP
TCKT,,15911,EBANKING,,,,Ebanking,Ebanking,Dịch vụ SMS Banking,Dịch vụ SMS Banking,2023-07-26 00:00:00.0000000,,,
TCKT,,61311,DOANH THU KHAC,,,,Doanh thu khác,,Doanh thu phí sản phẩm khác,Dịch vụ ngân hàng lưu ký,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,53116,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MUA PHUONG TIEN VAN TAI,CHO VAY MUA O TO SAN XUAT KINH DOANH,CHO VAY MUA O TO KINH DOANH VAN TAI,,Cho vay mua phương tiện vận tải,Cho vay mua ô tô sản xuất kinh doanh,Cho vay mua ô tô kinh doanh vận tải,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,53116,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MUA PHUONG TIEN VAN TAI,CHO VAY MUA O TO SAN XUAT KINH DOANH,CHO VAY MUA O TO KINH DOANH VAN TAI,Cho vay đầu tư TSCĐ và dự án,Cho vay mua phương tiện vận tải,Cho vay mua ô tô sản xuất kinh doanh,Cho vay mua ô tô kinh doanh vận tải,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,13113,Tài khoản thẻ trả trước,TK thẻ trả trước,TK thẻ trả trước,TK thẻ trả trước thông thường,Tài khoản thẻ trả trước,TK thẻ trả trước,TK thẻ trả trước,TK thẻ trả trước thông thường,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,13113,TAI KHOAN THE TRA TRUOC,TK THE TRA TRUOC,TK THE TRA TRUOC,TK THE TRA TRUOC THONG THUONG,Tài khoản thẻ trả trước,TK thẻ trả trước,TK thẻ trả trước,TK thẻ trả trước thông thường,2022-03-09 00:00:00.0000000,,INDIV,
INDIV,HDV&TT,11151,TKTT,TAI KHOAN THANH TOAN,TAI KHOAN THANH TOAN,TAI KHOAN LUONG NV MB,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản lương NV MB,2022-03-09 00:00:00.0000000,TKTT,INDIV,TKTT
TOAN_HANG,,11151,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản lương NV MB,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản lương NV MB,2021-01-01 00:00:00.0000000,,,
TCKT,,61922,DOANH THU KHAC,,,,Doanh thu khác,,Doanh thu phí sản phẩm khác,Dịch vụ khác…,2023-07-26 00:00:00.0000000,,,
INDIV,"DAU TU, BAO HIEM, TU VAN, UY THAC DAI LY",62221,SAN PHAM LIEN KET VA UY THAC DAI LY BAO HIEM,DAI LY CUNG CAP SAN PHAM BAO HIEM PHI NHAN THO,BAO HIEM VAT CHAT XE,BAO HIEM O TO MIC,Sản phẩm liên kết và ủy thác đại lý bảo hiểm,Đại lý cung cấp sản phẩm bảo hiểm phi nhân thọ,Bảo hiểm vật chất xe,Bảo hiểm Ô tô MIC,2022-03-09 00:00:00.0000000,,INDIV,
CIB,DU_NO,51621,CHO VAY VON LUU DONG,CHO VAY VON LUU DONG,CHO VAY KY QUY,CHO VAY KY QUY SAN XUAT KINH DOANH,,Cho vay vốn lưu động,Cho vay ký quỹ,Cho vay ký quỹ sản xuất kinh doanh,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,51621,CHO VAY VON LUU DONG,CHO VAY VON LUU DONG,CHO VAY KY QUY,CHO VAY KY QUY SAN XUAT KINH DOANH,Cho vay vốn lưu động,Cho vay vốn lưu động,Cho vay ký quỹ,Cho vay ký quỹ sản xuất kinh doanh,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,26112,CV THE TD,CHO VAY THE TIN DUNG DANH CHO KHCN,CHO VAY THE TIN DUNG QUOC TE DANH CHO KHCN,CHO VAY THE TIN DUNG QUOC TE JCB SAKURA,Cho vay thẻ tín dụng,Cho vay thẻ tín dụng dành cho KHCN,Cho vay thẻ tín dụng quốc tế dành cho KHCN,Cho vay thẻ tín dụng quốc tế JCB Sakura,2022-03-09 00:00:00.0000000,CV THE VISA,INDIV,CV THE TD
TOAN_HANG,,11611,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ quốc tế dành cho KHCN,Thẻ visa debit,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ quốc tế dành cho KHCN,Thẻ visa debit,2021-01-01 00:00:00.0000000,,,
TCKT,,11611,THE GHI NO,,,,Thẻ ghi nợ,Visa debit,Thẻ visa debit,Thẻ visa debit,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,11611,TKTT,THE GHI NO DANH CHO KHCN,THE GHI NO QUOC TE DANH CHO KHCN,THE VISA DEBIT,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ quốc tế dành cho KHCN,Thẻ visa debit,2022-03-09 00:00:00.0000000,TKTT,INDIV,TKTT
TCKT,,26112,CHO VAY,,,,Cho vay,CV Visa,CV Visa,CHO VAY THE TIN DUNG QUOC TE JCB SAKURA,2023-07-26 00:00:00.0000000,,,
TCKT,,263,THE TIN DUNG,,,,Thẻ tín dụng,Phat hanh moi,User the credit moi - luong HO,User the credit moi - luong HO,2023-07-26 00:00:00.0000000,,,
TCKT,,15321,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,DV quản lý các khoản phải thu (tach ma phi),2023-07-26 00:00:00.0000000,,,
NHS,DU NO,29224,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY THAU CHI TIEU DUNG KHONG CO TSDB,CHO VAY THAU CHI DAM BAO BANG LUONG MBG QUA APP,Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay thấu chi tiêu dùng không có TSĐB,Cho vay thấu chi đảm bảo bằng lương MBG qua App,2022-03-09 00:00:00.0000000,CV TIN CHAP,NHS,CV TIN CHAP
TOAN_HANG,,12251,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn Kho bạc nhà nước,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn Kho bạc nhà nước,2021-01-01 00:00:00.0000000,,,
TCKT,,262123,THE TIN DUNG,,,,Thẻ tín dụng,Phat hanh moi,Thẻ tín dụng phát hành mới hạng Gold,Thẻ tín dụng quốc tế VINID phát hành mới hạng Gold,2023-07-26 00:00:00.0000000,,,
TCKT,,266,THE TIN DUNG,,,,Thẻ tín dụng,Nang han muc,The credit nang han muc,The credit nang han muc,2023-07-26 00:00:00.0000000,,,
TCKT,,25111,CHO VAY,,,,Cho vay,CV STK,CV STK,"Cho vay cầm cố GTCG, Sổ tiết kiệm, HĐTG, CCTG…",2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,25111,CV CC GTCG,"CHO VAY THONG THUONG CAM CO GIAY TO CO GIA, TTK, HDTG, CCTG,…(GOI TAT LA GTCG)",CHO VAY CAM CO GTCG MO TAI QUAY,CHO VAY CAM CO GTCG TAI QUAY (GTCG VND MO TAI QUAY),"Cho vay cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)","Cho vay thông thường cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)",Cho vay cầm cố GTCG mở tại quầy,Cho vay cầm cố GTCG tại quầy (GTCG VNĐ mở tại quầy),2022-03-09 00:00:00.0000000,CV STK,INDIV,CV CC GTCG
INDIV,"DAU TU, BAO HIEM, TU VAN, UY THAC DAI LY",62132,SAN PHAM LIEN KET VA UY THAC DAI LY BAO HIEM,DAI LY CUNG CAP SP BAO HIEM NHAN THO,BAO HIEM GAN VOI KHOAN VAY,BAO HIEM TU KY CO SO TIEN BH GIAM DAN DANH CHO NGUOI DI VAY TIN CHAP (LTA/MBAL AN PHAT),Sản phẩm liên kết và ủy thác đại lý bảo hiểm,Đại lý cung cấp SP bảo hiểm nhân thọ,Bảo hiểm gắn với khoản vay,Bảo hiểm tử kỳ có số tiền BH giảm dần dành cho người đi vay tín chấp (LTA/MBAL An Phát),2022-03-09 00:00:00.0000000,,INDIV,
SME,DU_NO,55222,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
SME,BAO_LANH,31171,BAO LANH,BAO LANH,BAO LANH DOI UNG,BAO LANH DOI UNG,Bảo lãnh,Bảo lãnh,Bảo lãnh đối ứng,Bảo lãnh đối ứng,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,55222,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
TCKT,,261,THE GHI NO,,,,Thẻ ghi nợ,Phat hanh moi,User the debit moi,User the debit moi,2023-07-26 00:00:00.0000000,,,
CIB,BAO_LANH,31171,BAO LANH,BAO LANH,BAO LANH DOI UNG,BAO LANH DOI UNG,Bảo lãnh,Bảo lãnh,Bảo lãnh đối ứng,Bảo lãnh đối ứng,2021-01-01 00:00:00.0000000,,,
TCKT,,118117,THE TIN DUNG,,,,Thẻ tín dụng,Gia han,Thẻ tín dụng gia hạn hạng Gold,Thẻ JCB Sakura gia hạn hạng Gold,2023-07-26 00:00:00.0000000,,,
TCKT,,22512,CHO VAY,,,,Cho vay,CV Tiêu dùng TSĐB,CV Tiêu dùng TSĐB,Cho vay tiêu dùng có TSBĐ (KH thuộc MBG),2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,55224,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,55224,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
TCKT,,23231,CHO VAY,,,,Cho vay,Tín chấp ,CV Tín chấp,Cho vay tiêu dùng không có TSĐB (cá nhân tín chấp),2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,23231,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY MON TIEU DUNG KHONG CO TSDB,CHO VAY MON TIEU DUNG KHONG CO TSDB,Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay món tiêu dùng không có TSĐB,Cho vay món tiêu dùng không có TSĐB,2022-03-09 00:00:00.0000000,CV TIN CHAP,INDIV,CV TIN CHAP
TCKT,,21131,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay kinh doanh vật tư nông nghiệp,2023-07-26 00:00:00.0000000,,,
TCKT,,622121,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình IC/IRM MBAL 12 2020 SP,Mô hình IC/IRM MBAL 12 2020 SP,2023-07-26 00:00:00.0000000,,,
TCKT,,16421,KIEU HOI,,,,Kiều hối,DS Chiều về ,Chuyển tiền qua điện thoại đi động MB Mobile Money,Chuyển tiền qua điện thoại đi động MB Mobile Money,2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,11114,TAI KHOAN THANH TOAN,TAI KHOAN THANH TOAN,TAI KHOAN THANH TOAN,TAI KHOAN THANH TOAN MISA SP SO,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán MISA SP SO,2022-03-09 00:00:00.0000000,,NHS,
TCKT,,12316,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm cho con,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,12316,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM CHO CON,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm cho con,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
